@RELATION clima
@ATTRIBUTE FECHA date dd-MM
@ATTRIBUTE T_MAX real
@ATTRIBUTE T_MED real
@ATTRIBUTE T_MIN real
@ATTRIBUTE H_R_MAX real
@ATTRIBUTE H_R_MED real
@ATTRIBUTE H_R_MIN real
@ATTRIBUTE RADIACION real
@ATTRIBUTE class {VERDADERO,FALSO}
@ATTRIBUTE LLUVIA2 real
@ATTRIBUTE LLUVIA_MIN real
@ATTRIBUTE T_S_MAX real
@ATTRIBUTE T_S_MED real
@ATTRIBUTE T_S_MIN real
@ATTRIBUTE V_MAX real
@ATTRIBUTE V_MED real
@ATTRIBUTE V_MIN real
@ATTRIBUTE CV1 integer
@ATTRIBUTE CV2 integer 
@ATTRIBUTE CV3 integer
@ATTRIBUTE CV4 integer
@ATTRIBUTE DIRECCION integer
@ATTRIBUTE HORAS integer
@ATTRIBUTE H_T integer
@ATTRIBUTE H_HR integer
@ATTRIBUTE H_R integer
@ATTRIBUTE H_LL integer
@ATTRIBUTE H_TS integer
@ATTRIBUTE H_V integer
@ATTRIBUTE H_D integer
@ATTRIBUTE CALCULOS integer
@ATTRIBUTE MTMEN0 integer
@ATTRIBUTE MTMEN7 integer
@ATTRIBUTE MTMA30 integer
@ATTRIBUTE MVMA50 integer

@DATA
1-1,14.93,13.3675,12.09,90.2,80.53333,74.8,2.3859,FALSO,0,0,11.75,11.20792,10.82,30.6,10.53679,0,886,406,26,122,1,24,24,24,24,24,24,24,24,1,0,0,0,0
2-1,16.63,13.1725,10.65,86.6,74.93333,62.5,7.7918,FALSO,0,0,11.82,11.165,10.65,28.2,9.179876,0,865,209,51,315,1,24,24,24,24,24,24,24,24,1,0,0,0,0
3-1,14.55,11.00208,7.09,93.3,88.42081,77.7,2.841113,FALSO,0,0,11.84,10.81041,9.72,10.2,0.957375,0,17,38,542,843,4,24,24,24,24,24,24,24,24,1,0,0,0,0
4-1,17.95,11.315,4.55,95,76.27915,47.2,9.970669,FALSO,0.1,1,10.78,9.775832,8.69,9.3,1.55275,0,70,90,433,847,4,24,24,24,24,24,24,24,24,1,0,378,0,0
5-1,13.67,12.39,11.07,88.1,74.89584,60.8,3.165156,VERDADERO,1.8,16,11.14,10.57042,10.18,20.4,7.370834,0.6,941,264,35,200,1,24,24,24,24,24,24,24,24,1,0,0,0,0
6-1,14.28,11.33625,9.31,80,71.03333,57.7,5.145322,FALSO,0.3,3,10.76,10.14792,9.75,24.9,9.040833,1.5,988,288,17,147,1,24,24,24,24,24,24,24,24,1,0,0,0,0
7-1,12.72,10.31583,8.67,82.4,72.82499,64.5,5.79077,VERDADERO,1.3,13,9.89,9.383748,8.85,22.8,8.295374,0,1133,93,11,203,1,24,24,24,24,24,24,24,24,1,0,0,0,0
8-1,15.17,11.17292,8.92,75.6,66.05833,53.9,8.54892,FALSO,0,0,9.82,8.752501,7.83,21.3,7.11375,1.2,990,127,13,310,1,24,24,24,24,24,24,24,24,1,0,0,0,0
9-1,15.79,11.44833,7.94,76.7,67.58334,53.2,9.491806,FALSO,0,0,9.79,8.853335,7.88,19.5,6.541792,0.6,868,248,44,280,1,24,24,24,24,24,24,24,24,1,0,0,0,0
10-1,16.36,11.545,7.38,85.9,71.68333,53.8,8.956919,FALSO,0,0,10.5,9.2625,8.14,17.4,4.78475,0,464,395,113,468,4,24,24,24,24,24,24,24,24,1,0,0,0,0
11-1,14.64,11.85333,9.45,88.7,80.05834,64.1,3.961659,FALSO,0,0,11.75,10.53292,9.54,10.2,2.293583,0,198,361,311,570,4,24,24,24,24,24,24,24,24,1,0,0,0,0
12-1,15.97,10.50208,5.23,92,80.16666,59.5,7.356466,FALSO,0,0,10.96,10.14958,8.96,9.9,0.9402916,0,20,52,420,948,4,24,24,24,24,24,24,24,24,1,0,220,0,0
13-1,14.61,9.542916,3.736,94.2,85.74998,70.2,7.931232,FALSO,0,0,10.74,9.489585,7.93,12.9,1.772959,0,2,15,558,865,4,24,24,24,24,24,24,24,24,1,0,569,0,0
